generation,best_fitness,mean_fitness,f_diversity,f_coverage,f_balance,f_compression,time_seconds
1,0.6730053400115327,0.6483943358816457,0.24118735924245602,-6.264395713806152,0.997471310045389,0.6824141370956249,9.432340860366821
2,0.6798784688841628,0.6572276467257906,0.24128280961745707,-6.282084941864014,0.9977243707372518,0.6836254809747755,8.444966316223145
3,0.6964435111623312,0.6557391674143371,0.24188631435385238,-6.042474269866943,0.9971940604330494,0.6638164457745475,6.957763671875
4,0.7079372392201171,0.6684849871290395,0.24223629141316036,-5.934354782104492,0.9970066905301168,0.6554082941427961,8.281291484832764
5,0.7101001389032445,0.6829219916844409,0.24233724311898458,-5.885708808898926,0.9968795311155484,0.6512042183269203,7.279608964920044
6,0.7113599647395128,0.6945826601546966,0.2421002392888193,-5.801735877990723,0.9984410027148679,0.6417984893829272,7.235528230667114
7,0.7230744672277878,0.6998998437542305,0.24252653003333213,-5.818101406097412,0.9973410452885078,0.6452900099757731,7.038811922073364
8,0.7241521550042829,0.7067385019390072,0.2424290286383962,-5.6653852462768555,0.9981318630801992,0.6307538834259655,7.353338718414307
9,0.7338994007390952,0.710497152827008,0.2427168503424537,-5.566802978515625,0.9977634978189395,0.6219181986603961,7.200472831726074
10,0.7338994007390952,0.7147951188814403,0.2427168503424537,-5.566802978515625,0.9977634978189395,0.6219181986603961,7.309075355529785
11,0.7460164310635059,0.725775855928766,0.24310078154892767,-5.604909420013428,0.9974378058424642,0.6268348296993017,7.022833585739136
12,0.7474870432575307,0.7274089720126268,0.24318834846436052,-5.5510573387146,0.997289153779748,0.6224169873165171,7.2309370040893555
13,0.7503763288838196,0.7364376864079598,0.243086970782681,-5.535506248474121,0.9986841988089881,0.6209918768704574,7.129613399505615
14,0.7572410177970398,0.7382366328552646,0.24327167847582543,-5.463624000549316,0.9983904442970475,0.6145788798631894,7.401983022689819
15,0.7572410177970398,0.7442146144400361,0.24327167847582543,-5.463624000549316,0.9983904442970475,0.6145788798631894,9.84953498840332
16,0.7572410177970398,0.7429952371728576,0.24327167847582543,-5.463624000549316,0.9983904442970475,0.6145788798631894,9.938672065734863
17,0.7572410177970398,0.7461965621135851,0.24327167847582543,-5.463624000549316,0.9983904442970475,0.6145788798631894,10.439548015594482
18,0.7589932022740999,0.7495111129829652,0.24346756186131835,-5.331822395324707,0.9984672849892439,0.6037480404731367,10.211626291275024
19,0.7591087124207284,0.7516205872778668,0.24340995381462074,-5.33553409576416,0.9982628090914614,0.6042468291292575,10.769977807998657
20,0.7591087124207284,0.7548947561226594,0.24340995381462074,-5.33553409576416,0.9982628090914614,0.6042468291292575,11.0909743309021
21,0.7591087124207284,0.7543655238329847,0.24340995381462074,-5.33553409576416,0.9982628090914614,0.6042468291292575,10.520352363586426
22,0.759207993231303,0.755555359440323,0.24349909943355677,-5.317815780639648,0.9985956148393086,0.6030354852501069,10.535804986953735
23,0.759207993231303,0.7556793908774047,0.24349909943355677,-5.317815780639648,0.9985956148393086,0.6030354852501069,11.366280317306519
24,0.7592526529843534,0.753135224229622,0.24357489203012175,-5.299532413482666,0.9990033284036572,0.6016816303263504,11.181786060333252
25,0.7592526529843534,0.7553511234926447,0.24357489203012175,-5.299532413482666,0.9990033284036572,0.6016816303263504,9.4980149269104
26,0.7592873095952043,0.7569617089850216,0.24375825331794007,-5.21879768371582,0.9986928832670452,0.5954111443636882,7.467938423156738
27,0.7592873095952043,0.7578798567773976,0.24375825331794007,-5.21879768371582,0.9986928832670452,0.5954111443636882,7.4236509799957275
28,0.7593669647549501,0.7577585521471895,0.24381514146982672,-5.2533087730407715,0.9985003596839988,0.5982613652558073,7.637385606765747
29,0.7594976881865954,0.7585321716525234,0.24371498375379888,-5.280290603637695,0.9982820530856983,0.6006127974918056,7.523686408996582
30,0.7594976881865954,0.7569381884999962,0.24371498375379888,-5.280290603637695,0.9982820530856983,0.6006127974918056,7.479619264602661
31,0.7594976881865954,0.7577785566785776,0.24371498375379888,-5.280290603637695,0.9982820530856983,0.6006127974918056,7.648111820220947
32,0.7595534603423997,0.7580754589852482,0.243832097532218,-5.240859031677246,0.9983237868193866,0.5976200655550805,7.7307164669036865
33,0.7596220772968594,0.7584379606427479,0.2439035012980139,-5.226568698883057,0.9983592816571417,0.5966224882428388,9.083773612976074
34,0.7597165432918651,0.7584304301970565,0.24386959766079883,-5.248022556304932,0.9986932884128492,0.5984751318227163,10.716999530792236
35,0.7597165432918651,0.7580101165885818,0.24386959766079883,-5.248022556304932,0.9986932884128492,0.5984751318227163,10.322205305099487
36,0.7597165432918651,0.7576730612514752,0.24386959766079883,-5.248022556304932,0.9986932884128492,0.5984751318227163,9.920892000198364
37,0.759755902496718,0.7590665122352354,0.24399845421203517,-5.22168493270874,0.9983151037914665,0.5964799771982329,7.394798278808594
38,0.759755902496718,0.7587387346472809,0.24399845421203517,-5.22168493270874,0.9983151037914665,0.5964799771982329,7.662750005722046
39,0.7598003177290131,0.7586854229412773,0.24422060979334373,-5.1952314376831055,0.9986103262848277,0.5944848225737495,7.667290687561035
40,0.7598003177290131,0.7593050453888726,0.24422060979334373,-5.1952314376831055,0.9986103262848277,0.5944848225737495,7.597175121307373
41,0.7598003177290131,0.758638972473977,0.24422060979334373,-5.1952314376831055,0.9986103262848277,0.5944848225737495,7.691311597824097
42,0.7598077941193531,0.7591157886277717,0.24446903634487988,-5.165990829467773,0.9982256787032782,0.5922046458600542,7.746751546859741
43,0.7598681180065833,0.7588945331363204,0.2441259483030773,-5.178234577178955,0.9981912026870031,0.5932734786945988,7.568935871124268
44,0.7599241191482233,0.7591823069914382,0.24458468000860242,-5.160599708557129,0.997953615321569,0.5919908792931452,7.778609752655029
45,0.7599241191482233,0.7593885775693477,0.24458468000860242,-5.160599708557129,0.997953615321569,0.5919908792931452,8.785248279571533
46,0.759981259554685,0.7596451482319356,0.2442950967792292,-5.162015438079834,0.9980628480741507,0.5922046458600542,7.702916383743286
47,0.759988983998993,0.7592540525350346,0.2443060737851206,-5.15366268157959,0.9981284623549761,0.5915633461593274,7.662472724914551
48,0.7601526547516775,0.7597369790162488,0.24430126139698757,-5.163537979125977,0.9979249015291186,0.592632178993872,7.395533800125122
49,0.7601573171904362,0.7593595281185724,0.24428281314380837,-5.164339542388916,0.9979872261620564,0.592703434516175,7.802274942398071
50,0.7601927406206189,0.7594209195766013,0.2443047340681549,-5.168978214263916,0.9981348258185483,0.593130967649993,7.894299030303955
